added_at_playlist,uri,name,popularity,duration_ms,is_explicit,album_name,album_release_date
2021-03-02T06:37:08Z,spotify:track:0ZTLlGCJPlvVwUQKNqaU31,Economy of Freedom,36,295803,False,Safe In The Hands of Love,2018-09-05
2021-03-02T06:29:20Z,spotify:track:4JHD4Ce3WWAzbcRApwpZBt,Marienbad,0,324813,False,Ekstasis (Expanded),2012-12-11
2021-03-02T06:26:12Z,spotify:track:5jeQf8gibTkyNoNbtrHebd,11,16,109897,False,Black Is Beautiful,2012
2021-03-02T06:24:48Z,spotify:track:35VfLKymw2iZKWnLTvm8Xv,Alien Observer,50,236480,False,A I A: Alien Observer,2011-04-11
2021-03-02T06:21:31Z,spotify:track:1OStEtFJJ7xMbgQfp5C3j9,Passionfruit,58,274728,False,EP2,2017-11-03
2021-03-02T06:17:03Z,spotify:track:3D3lFL1x5dLuFVVSNcenVI,8,23,158583,False,Black Is Beautiful,2012
2021-03-02T06:12:48Z,spotify:track:0mgEmRImUh3eavQfOizNYx,2,29,133823,False,Black Is Beautiful,2012
2021-03-02T06:12:39Z,spotify:track:600tA1gbf9oKO29goLQbfe,God Hour (feat. Micachu),32,155779,False,"""BBF"" Hosted By DJ Escrow",2016-04-01
2021-03-02T05:53:59Z,spotify:track:4G2wDx4EztZCPNz4sVHOFF,Meditation (feat. Arca),29,320449,False,"""BBF"" Hosted By DJ Escrow",2016-04-01
2021-03-02T05:53:38Z,spotify:track:6idIUL2E6rk9LlQAvg3eqM,Skywalker,30,213031,True,419 (Remastered),2016-11-26
2021-03-01T01:00:46Z,spotify:track:5gKsCUUeO3wmx2FKqI2rt7,How to Fight (La Petite Mort Edit),29,292000,False,Phoenix: La Petite Mort Édition,2021-02-26
2021-03-01T01:00:09Z,spotify:track:6Q3ZjWvNbybtRLZNZx3ltJ,High Tide,43,179686,False,Trinity,2019-10-18
2021-03-01T00:54:02Z,spotify:track:3trptNSVKUejHbWwvYoq0Q,Nocturne,38,336666,False,~~~,2019-03-15
2021-03-01T00:51:02Z,spotify:track:6X5BpzF5MpGY0EXBi9Ni7m,No harm,36,228100,False,Have fun,2018-03-06
2021-03-01T00:35:39Z,spotify:track:1438FzaDW0V4T9jys3eRwX,The Last Train's Come and Gone,38,217520,False,Act of Tenderness,2018-02-23
2021-03-01T00:35:36Z,spotify:track:6PN8bVP6kjAW6UwqileVWR,Water Music,37,389681,False,Ultraviolet,2018-11-02
2021-03-01T00:35:35Z,spotify:track:6VI6LnXQSm7NI7ptuQ7Dl4,Camille,44,304144,False,Because of a Flower,2020-11-13
2021-03-01T00:05:00Z,spotify:track:5MZQmUlYE5kc5Vv7QIKYmR,Spells,39,370707,False,Spells,2018-04-11
2021-03-01T00:00:27Z,spotify:track:75mMC2cnD58FHOrMGmxf6i,Immortality,36,244000,False,~~~,2019-03-15
2021-02-10T03:50:48Z,spotify:track:2iHvSdltCRLlCVYAjRxLNj,Tom,23,184031,False,Modeselektion Vol. 03 Pt. 1,2014-06-27
2021-02-01T03:10:53Z,spotify:track:4qm8sWdYoXkdhMN8EL9mAL,I'm Clean Now,51,174370,False,Paradise Valley,2016-12-21
2021-01-30T02:08:20Z,spotify:track:2KQkhr5XYTQkSi8UxYM6JJ,3OHA - Eartheater Rework,0,358186,False,3OHA (Eartheater Rework),2019-10-17
2021-01-28T03:40:29Z,spotify:track:6wZDaDFXoCYeV7aMLOH0Uz,Caught in a Lie,34,235784,False,I Used to Spend So Much Time Alone,2017-06-02
2021-01-28T03:08:16Z,spotify:track:14qg0bStIzSQVy74nNyuGk,PINK,34,410491,False,Render Another Ugly Method,2018-09-07
2021-01-23T20:58:04Z,spotify:track:5B4chrLWhupcxEqOQu0aqg,First Weeks,32,384142,False,In Roses,2014-01-28
2021-01-23T20:49:34Z,spotify:track:6sJlchLIX2krydtTBxsXUU,door to the cosmos,48,374951,False,Void XIV,2017-09-13
2021-01-20T03:33:40Z,spotify:track:2vLUk3fQD4Bsaii1db5O3j,Agatka (Agatha! You're Being Melodramatic!),39,266853,False,Come In,2019-04-29
2020-11-08T23:11:41Z,spotify:track:4ujF9uIt1jQGBJRhaPgHf9,Painter of Tygers,22,264309,False,Ghost Forests,2018-11-09
2020-10-13T03:30:25Z,spotify:track:20fYwcE5fly6uwvcR9csr5,Ttrabul 2 (see page 42),30,126225,False,"A Quiet Farwell, 2016–2018 (Crater Speak)",2019-04-18
2020-10-10T21:20:52Z,spotify:track:1XJOrr8OTcB1D4u1mUM0vg,Lost At Sea,22,406153,False,One Life,2019-11-01
2020-08-28T18:49:28Z,spotify:track:76gyRfQNzjMsCOoE3KJFmc,Bucciarati,23,236970,False,Bucciarati,2020-08-18
2020-08-16T04:58:02Z,spotify:track:5ZlLTN0dYaKbIiZ3E6JA3I,Motorcycle,15,110320,False,The Original Faces,2015-09-04
2020-08-14T18:32:02Z,spotify:track:4P5Q5d9PSiRPn692YiTD5d,Penelope Freestyle,41,222531,True,419 (Remastered),2016-11-26
2020-08-12T21:57:59Z,spotify:track:6PInkrdWpzFi6c4Ffrzs3q,Baybee,45,225253,False,Everybody Works,2017-03-10
2020-07-15T02:36:55Z,spotify:track:5yT5gTAWIoF97BiI5Ed2h3,Shinzo No Tobira,46,282386,False,Utakata No Hibi,1983
2020-07-13T21:10:20Z,spotify:track:0c0Z5agmnSibjIWjdZV6R1,IZ-US,54,177266,False,Come To Daddy,1997-10-06
2020-07-13T21:10:17Z,spotify:track:4q650OiSDQIwccxDFpuuBm,Flim,54,177093,False,Come To Daddy,1997-10-06
2020-07-10T01:03:53Z,spotify:track:2O4bAzoW3U2GPIzpsEVGO9,song of the sleeping forest,36,258253,False,Symbol,2004-10-27
2020-07-10T01:03:24Z,spotify:track:31FiS1jMI38kYfC8ey358W,dlp 1.1,41,3815786,False,The Disintegration Loops (Remastered),2014-09-02
2020-06-20T03:04:18Z,spotify:track:6iisVF84yFUSmX0kXc9cYk,Pearl’s Girl - Remastered,32,577053,False,Second Toughest In The Infants (Deluxe / Remastered),1996
2020-06-18T02:30:38Z,spotify:track:7DlDsm4ZDGYXiJkNb7YbOd,"The Truth, The Glow, The Fall",31,727554,False,Dead Magic,2018-03-02
2020-06-18T02:20:47Z,spotify:track:0MgBSd3GVQQyK4ihtXO6LZ,Nose Grows Some,3,322512,False,Tomorrow's Modern Boxes,2014
2020-06-16T04:42:17Z,spotify:track:031TQHn8ICGcAKkOwWvMNG,Die Dinge des Lebens,35,296270,False,The Amateur View,1999-04-30
2020-06-16T04:22:38Z,spotify:track:5QhpmaNA1hiNKUbojomx6l,Nebula,30,334213,False,Will,2016-05-06
2020-06-14T20:32:36Z,spotify:track:3SD1uZIMgMlL0CRZNI9VdV,Held,35,381699,False,Mono No Aware,2017-03-17
2020-06-07T03:58:40Z,spotify:track:7x1ct7s9fVqkIWwbah9NO1,Water Memory 1,38,448133,False,Water Memory,2017-12-21
2020-05-24T01:48:05Z,spotify:track:7xcbZmyRu9PA4iKeTe3aKS,0wa,8,156935,False,organ,2019-07-14
2020-05-07T02:27:21Z,spotify:track:2xx0FWH2Nb7Cwl65xxIaUy,Claustro,19,341666,False,Tunes 2011-2019,2019-12-06
2020-05-07T02:01:53Z,spotify:track:1dS0Mt5vf0wqDly1DwfLeZ,Nightmarket,17,445946,False,Tunes 2011-2019,2019-12-06
2020-04-16T00:19:14Z,spotify:track:3pHck24CChlWo2443GaOS3,Two For C,34,316500,False,Tongue,2018-02-09
2020-03-29T20:11:17Z,spotify:track:5QOdy5GeehZ3WAYQZnfW3W,Don't Break My Love,35,370677,False,Nymphs,2015-10-07
