uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
spotify:track:3wYrO0HmmZnb7P2e4CNpJR,0.777,0.377,11,-14.627,0,0.0596,0.00209,0.721,0.0317,0.0964,121.011
spotify:track:0ra2KycIylOc1NDTVkIUcv,0.504,0.502,6,-14.355,0,0.0554,0.616,0.919,0.112,0.226,124.987
spotify:track:29EdNlJQqStWhNkSGpkuFQ,0.646,0.467,4,-9.507,1,0.0273,0.622,0.000274,0.081,0.501,103.962
spotify:track:1rSr0HDAOpafQ6fJFJRpYr,0.756,0.413,6,-13.547,0,0.068,0.0803,0.912,0.0952,0.225,120.007
spotify:track:4bCdEN9jonaJgTN4fmyeZu,0.656,0.828,2,-9.007,1,0.0418,0.113,0.494,0.094,0.373,125.259
spotify:track:1leXuBiWQMgbvOIIedqbLB,0.76,0.579,5,-5.079,0,0.0388,0.00715,0.000679,0.0304,0.975,99.979
spotify:track:01c6K35tB5HoVwvTUf9ibA,0.287,0.426,2,-12.538,0,0.0304,0.0268,0.728,0.278,0.144,120.024
spotify:track:6EpVWSmeQxy6THtnWgbM7F,0.573,0.455,0,-11.892,0,0.0409,0.623,0.948,0.114,0.188,150.088
spotify:track:66J1FuGDWyYc7NqWc3O6nn,0.49,0.621,11,-13.631,0,0.0361,0.541,0.882,0.11,0.457,130.005
spotify:track:4Tzw9IdZbVyzmpWrvsGaNX,0.862,0.314,3,-8.269,0,0.0369,0.108,0.156,0.0878,0.502,114.472
spotify:track:3FeosxZcVBWesL8jTMtVbk,0.803,0.576,1,-11.388,0,0.051,0.00332,0.916,0.0721,0.203,122.008
spotify:track:2u57JqgA3v53N2VjzZzdyN,0.644,0.52,8,-14.067,1,0.035,0.286,0.897,0.0958,0.341,119.993
spotify:track:1FlQnC4i9ryrnBmI79h4cI,0.519,0.607,7,-10.884,1,0.0627,0.0587,0.84,0.159,0.0708,120.001
spotify:track:39Oui3EXtdMLKQqQIFjRpa,0.716,0.74,1,-10.458,1,0.0472,0.00777,0.884,0.0499,0.413,117.993
spotify:track:0J6AcQFq8RnR4jWYYZNPbm,0.675,0.192,9,-20.781,0,0.0328,0.0225,0.894,0.0915,0.423,104.009
spotify:track:50F3LEKAZ7DiNFNaMZToEk,0.666,0.621,8,-9.989,0,0.0336,0.736,0.874,0.115,0.13,117.998
spotify:track:7FNXLyyorjzTQk5xen4wVD,0.713,0.506,5,-11.252,1,0.0435,0.0288,0.882,0.123,0.185,123.033
spotify:track:2rJ6tqhA4tZLHGmvBpHBnb,0.613,0.519,7,-13.025,0,0.0331,0.254,0.917,0.102,0.363,125.989
spotify:track:2E6G3HkQb3OuEz3JKHaXUK,0.81,0.762,2,-9.671,0,0.064,0.00505,0.717,0.0747,0.304,122.002
spotify:track:1NB8HcUSulY9WexgXms8ff,0.71,0.817,5,-8.785,0,0.0463,0.00831,0.895,0.129,0.255,124.997
spotify:track:76P0yHwCGNN1OC8Xp69hPu,0.805,0.59,7,-11.282,1,0.0503,0.0468,0.866,0.106,0.0599,122.0
spotify:track:56hIBKDYQrra3laJF9X13c,0.726,0.609,2,-11.804,1,0.0653,0.00133,0.838,0.11,0.29,126.986
spotify:track:4vyO7SF8XrQmq6qn1hamiZ,0.76,0.693,9,-9.933,0,0.0731,0.053,0.823,0.0938,0.447,124.995
spotify:track:1mYec87UIcT1vcVOEHItOe,0.703,0.716,4,-10.184,0,0.0338,0.072,0.738,0.109,0.198,126.006
spotify:track:2WIUbg8CiAsKuQMw9DzZ1d,0.645,0.741,5,-8.488,0,0.0507,0.00417,0.576,0.0372,0.765,129.302
spotify:track:5SW8SlaKiBYh4qBpomiL61,0.598,0.833,7,-8.885,0,0.0357,0.325,0.876,0.0817,0.0353,122.003
spotify:track:6YJ9z4IInxfJWsjc6ADtV2,0.728,0.784,8,-12.477,1,0.0414,0.103,0.848,0.0858,0.0646,124.977
spotify:track:1QrxggFof36TcpeREbDAXI,0.751,0.621,7,-9.689,1,0.0482,0.000334,0.608,0.116,0.148,113.997
spotify:track:6oAR7cVXwwQQJtq4UgnuPs,0.786,0.745,4,-10.106,0,0.0488,0.000649,0.822,0.0777,0.225,123.004
spotify:track:6fxq63aKjMmi1WMI9iKX5w,0.671,0.497,0,-9.787,0,0.0552,0.171,0.536,0.101,0.114,95.005
spotify:track:7t4MdwfjiFCQziryb622Oc,0.816,0.719,5,-9.615,0,0.0656,0.00578,0.939,0.157,0.13,122.001
spotify:track:7dUz2Ll8ijODMfsiQFbH9c,0.664,0.745,2,-8.379,1,0.0344,0.000104,0.781,0.0959,0.379,123.016
