artists,artists_id
"['Agoria', 'Eagles & Butterflies']","['spotify:artist:4lu50np3LdTkRL09T7x8UP', 'spotify:artist:7lzrNOBAdfH8f4nVAWbRfk']"
Alfa Romero,spotify:artist:5NYS4CtpiA1O9HahyjGfgE
Lola Marsh,spotify:artist:56UIK6wmbbxuQ6VA20vrWD
Adriatique,spotify:artist:02DWGcShQivFepRvGJ7xhB
Ciudad Feliz,spotify:artist:6ajrQUR9Petb6PRkSdWpVW
Capital Cities,spotify:artist:4gwpcMTbLWtBUlOijbVpuu
"['Arandel', 'Sébastien Roué']","['spotify:artist:2rIxFqgfnqsfLovL6Jyk4e', 'spotify:artist:4rreGd1iwicwEkQUXbxY5w']"
"['Arandel', 'Petra Haden']","['spotify:artist:2rIxFqgfnqsfLovL6Jyk4e', 'spotify:artist:1hO7u836ntSuPofTfvjzr6']"
Arandel,spotify:artist:2rIxFqgfnqsfLovL6Jyk4e
SAULT,spotify:artist:1uRxRKC7d9zwYGSRflTKDR
Durante,spotify:artist:1BqIPGrEhdjdLFpUzce2dh
dj poolboi,spotify:artist:3uL9a8QRwQ6J8Sc7NYK7oJ
Pablo Nouvelle,spotify:artist:2OIJq28O1lXrZ2x3NGSk8P
16BL,spotify:artist:0u2qG4roqULELVVO9fMgSG
"['Buendia', 'De Juepuchas', 'Mente Orgánica', 'Romboi']","['spotify:artist:4DgmNZDjpk4Zj547a2bfcH', 'spotify:artist:7oVSI0ddXNkjEtvLoh0SRC', 'spotify:artist:1wfwGvcBGamXiXxuaExHRT', 'spotify:artist:7AevNCcvxBEy5z42d2A2RO']"
"['Trashlagoon', 'Parra for Cuva']","['spotify:artist:2Ceq5nkABzryK0OkaQYtzg', 'spotify:artist:238y1dKPtMeFEpX3Y6H1Vr']"
Ben Böhmer,spotify:artist:5tDjiBYUsTqzd0RkTZxK7u
Alfa Romero,spotify:artist:5NYS4CtpiA1O9HahyjGfgE
Agents Of Time,spotify:artist:6Jbyd4qzEtbFtswZP1o6Ht
Agents Of Time,spotify:artist:6Jbyd4qzEtbFtswZP1o6Ht
Remcord,spotify:artist:09iSLnIk5tjj4u4T7nrhmB
Agents Of Time,spotify:artist:6Jbyd4qzEtbFtswZP1o6Ht
Agents Of Time,spotify:artist:6Jbyd4qzEtbFtswZP1o6Ht
"['Adriatique', 'Agents Of Time']","['spotify:artist:02DWGcShQivFepRvGJ7xhB', 'spotify:artist:6Jbyd4qzEtbFtswZP1o6Ht']"
Four Tet,spotify:artist:7Eu1txygG6nJttLHbZdQOh
Ceas,spotify:artist:6poVmwB0wQp0blleNlIUKM
"['Mark Tarmonea', 'Yannek Maunz']","['spotify:artist:0G0DRVtduDqqikbVbZXaNn', 'spotify:artist:2Kpl9Z7stnwWTE8tZK7srj']"
Namito,spotify:artist:6E8wYeE1CsvOUO031l9QGJ
"['Atelier Francesco', 'Astrid', 'Tim Green']","['spotify:artist:7mWSy3XhNWNLCCPtBnpBL9', 'spotify:artist:1KKHkWdI9mVsaZemalCOZW', 'spotify:artist:68vO4fkFxLbWPxTSHosxsB']"
Oliver Koletzki,spotify:artist:1WjBIvYAnZTkTh5UiZNwlR
"['Guy Gerber', 'Dixon']","['spotify:artist:3bqBkAzdPwEDe1JUvb7ZeC', 'spotify:artist:3wc57nV2fGEoM8x4xPK1O9']"
Adana Twins,spotify:artist:2JnkjHtuUjz83gkEx8QMS4
Klangkarussell,spotify:artist:041iTeoMIwXMlShuQPIVKo
Marino Canal,spotify:artist:6qdVbTc8Uvy0VJyDZbYTd8
"['Mathame', 'Franchino']","['spotify:artist:6QSwQEz8CDMg8Rqk8dEkxS', 'spotify:artist:5GkitXZMZ5pVYdZEXRfeR8']"
Colyn,spotify:artist:5vr1GvUstxr6nwxniKqLOh
Ae:ther,spotify:artist:2Va4TMOAXwdFAcakAUNSsV
Moby,spotify:artist:3OsRAKCvk37zwYcnzRf5XF
Fideles,spotify:artist:39RaU9BN81x3KBo299bwXs
"['Howling', 'RY X', 'Frank Wiedemann', 'Adriatique']","['spotify:artist:3WTWOrIS77vY3hkCFqTyIw', 'spotify:artist:2KjAo6wVc9d2WcxdxSArpV', 'spotify:artist:1gbnoyNZEf6K9HytIv1D94', 'spotify:artist:02DWGcShQivFepRvGJ7xhB']"
Jimi Hendrix,spotify:artist:776Uo845nYHJpNaStv1Ds4
Albert King,spotify:artist:5aygfDCEaX5KTZOxSCpT9o
Depeche Mode,spotify:artist:762310PdDnwsDxAQxzQkfX
Aera,spotify:artist:3Pj0WcDp7Df123RzhrTohk
Ivory (IT),spotify:artist:0H1va9wyZWImoOV4euIBcr
"['Traditional', 'Sheku Kanneh-Mason', 'Plinio Fernandes']","['spotify:artist:1U5zgr455OGyIkLNXvDdrf', 'spotify:artist:6OTr0YwLwGdv7mlmX27hRX', 'spotify:artist:0FK16dJDaoLTqNO9YhawG8']"
Stephan Bodzin,spotify:artist:2nq2BeSbzExGAv3Y4HgUf7
Dee Montero,spotify:artist:46RoK8NBTMTyu23GiHqbCr
Hot Since 82,spotify:artist:1tRBmMtER4fGrzrt8O9VpS
Adrien Kepler,spotify:artist:5EfRMGFkSBRPFA7PtqqC4x
Mind Against,spotify:artist:48LWLoeY0dhwaiX1FRsn72
Matador,spotify:artist:1UcYY5JDPe05nqjODiVkx1
Alberto Iglesias,spotify:artist:1HRRbATgv6NPHs7Twm74p2
Stereoclip,spotify:artist:4x2Ejyd2OGXtZrPvAQWvYL
"['Tosca', 'Lucas Santtana', 'John Digweed', 'Nick Muir']","['spotify:artist:6TrdQpgX45nedRZY8cSV6D', 'spotify:artist:67muZL7DIwZwLnH9BFfI5Z', 'spotify:artist:3xnDktxhudJR2Wv3HZDQ9W', 'spotify:artist:2Z24cX1mJuD751l4CusqYp']"
Bedouin,spotify:artist:5bKdC6382t97Qnpvs81Rqx
"['Roderic', 'ITAI']","['spotify:artist:7wSzFq5CoNoCpzazDphDJs', 'spotify:artist:1J1zcThVxqIOB7XdjqKsmq']"
"['Nick Warren', 'Max Cooper']","['spotify:artist:7aY9PtsNws5AdwbdktfbaN', 'spotify:artist:0WSSKmoRbxqLf3MnXInQ2J']"
Against All Logic,spotify:artist:0ngUeF0DGpYmPec80MqSi1
DAVID AUGUST,spotify:artist:1cS5EoXVqz7aON00AkVBBA
DAVID AUGUST,spotify:artist:1cS5EoXVqz7aON00AkVBBA
Stephan Bodzin,spotify:artist:2nq2BeSbzExGAv3Y4HgUf7
George Shearing,spotify:artist:7uUBTiZ2u5b40vymlFmXrn
Stimming,spotify:artist:2yPveJtn9DpeN0CgNJHvAQ
Magdalena,spotify:artist:4wlgF2WCCPNhQ0FpNwO3vc
"['Christian Löffler', 'Gry', 'Mind Against']","['spotify:artist:3tSvlEzeDnVbQJBTkIA6nO', 'spotify:artist:21cjK2u7tOVLVXW2tz8KTO', 'spotify:artist:48LWLoeY0dhwaiX1FRsn72']"
Tale Of Us,spotify:artist:1UL813H5aj3e8ekE5RqWqc
"['F.S. Blumm', 'Nils Frahm']","['spotify:artist:4cHtgM7lauSNaau5uAm5Cc', 'spotify:artist:5gqhueRUZEa7VDnQt4HODp']"
Recondite,spotify:artist:1doQgXssRfKnLx70adszbK
Stephan Bodzin,spotify:artist:2nq2BeSbzExGAv3Y4HgUf7
Stephan Bodzin,spotify:artist:2nq2BeSbzExGAv3Y4HgUf7
Soul Button,spotify:artist:5mcH5yOO7QWoT8CuL8JxEm
"['KAS:ST', 'Be No Rain', 'Tale Of Us']","['spotify:artist:7orlzf5LTqSnCzURkZFebN', 'spotify:artist:0ToTNYPspLv4FWbcpXgOUt', 'spotify:artist:1UL813H5aj3e8ekE5RqWqc']"
"['Tale Of Us', 'Vaal', 'Stephan Bodzin']","['spotify:artist:1UL813H5aj3e8ekE5RqWqc', 'spotify:artist:71Og13tJyEC23Eom0pb0BP', 'spotify:artist:2nq2BeSbzExGAv3Y4HgUf7']"
