added_at_playlist,uri,name,popularity,duration_ms,is_explicit,album_name,album_release_date
2021-02-25T18:04:26Z,spotify:track:3wYrO0HmmZnb7P2e4CNpJR,Up All Night - Eagles & Butterflies Remix,19,495867,False,Up All Night,2016-11-25
2021-02-10T21:05:46Z,spotify:track:0ra2KycIylOc1NDTVkIUcv,Claim Your Love,33,440388,False,Unity,2020-04-03
2021-02-07T01:29:41Z,spotify:track:29EdNlJQqStWhNkSGpkuFQ,"Something Stupid (From ""Better Call Saul"")",49,268846,False,"Something Stupid (From ""Better Call Saul"")",2018-10-05
2021-02-05T10:01:41Z,spotify:track:1rSr0HDAOpafQ6fJFJRpYr,Space Knights,33,432543,False,Space Knights,2014-08-22
2021-01-08T00:21:21Z,spotify:track:4bCdEN9jonaJgTN4fmyeZu,Airport Song,19,405706,False,Barreador,2018-09-07
2021-01-06T20:53:25Z,spotify:track:1leXuBiWQMgbvOIIedqbLB,Kangaroo Court,67,223186,False,In A Tidal Wave Of Mystery (Deluxe Edition),2013
2021-01-06T15:42:14Z,spotify:track:01c6K35tB5HoVwvTUf9ibA,Passacaglia,14,295266,False,InBach,2020-01-24
2021-01-06T15:27:50Z,spotify:track:6EpVWSmeQxy6THtnWgbM7F,Prelude No. 2 in C Minor,16,154653,False,InBach,2020-01-24
2021-01-06T15:13:55Z,spotify:track:66J1FuGDWyYc7NqWc3O6nn,Hysope,35,342906,False,InBach,2020-01-24
2020-12-31T13:26:54Z,spotify:track:4Tzw9IdZbVyzmpWrvsGaNX,Wildfires,68,206947,False,Untitled (Black Is),2020-06-19
2020-12-30T12:09:36Z,spotify:track:3FeosxZcVBWesL8jTMtVbk,Split Wick,48,334761,False,Unraveled,2017-11-24
2020-12-22T14:58:18Z,spotify:track:2u57JqgA3v53N2VjzZzdyN,it's good to hear your voice,34,205000,False,it's good to hear your voice,2020-03-20
2020-12-22T14:40:16Z,spotify:track:1FlQnC4i9ryrnBmI79h4cI,The Atmospheric Halo Fades Into The Blackness Of Space,32,240933,False,Obsolete,2020-04-02
2020-12-21T20:57:07Z,spotify:track:39Oui3EXtdMLKQqQIFjRpa,Vette,40,504827,False,Vette / Leaving Home,2019-02-08
2020-12-21T20:49:31Z,spotify:track:0J6AcQFq8RnR4jWYYZNPbm,El Azul del Cielo - Mente Orgánica Remix,36,420000,False,El Azul del Cielo (Remix),2019-11-29
2020-12-21T20:04:47Z,spotify:track:50F3LEKAZ7DiNFNaMZToEk,In Mexico,44,419189,False,Planet Ujou,2020-03-19
2020-12-07T12:01:35Z,spotify:track:7FNXLyyorjzTQk5xen4wVD,After Earth - Original Mix,21,457301,False,After Earth (Original Mix),2018-04-13
2020-10-31T13:02:03Z,spotify:track:2rJ6tqhA4tZLHGmvBpHBnb,Learning To Fly,27,442211,False,1001 Nights EP,2020-07-10
2020-10-30T12:01:42Z,spotify:track:2E6G3HkQb3OuEz3JKHaXUK,Under Control,40,339423,False,Music Made Paradise,2020-04-10
2020-10-30T12:01:37Z,spotify:track:1NB8HcUSulY9WexgXms8ff,Dream Vision,41,385000,False,Forest Of Lies EP,2018-11-30
2020-10-29T14:26:25Z,spotify:track:76P0yHwCGNN1OC8Xp69hPu,Empty Supply - Original Mix,33,426570,False,Empty Supply EP,2020-03-26
2020-10-29T14:19:28Z,spotify:track:56hIBKDYQrra3laJF9X13c,Astra,27,348307,False,Unity,2020-04-03
2020-10-29T14:18:15Z,spotify:track:4vyO7SF8XrQmq6qn1hamiZ,Drive Me Crazy,32,327394,False,Music Made Paradise,2020-04-10
2020-10-29T14:17:57Z,spotify:track:1mYec87UIcT1vcVOEHItOe,Buchla’s Dreaming - Agents Of Time Remix,38,463962,False,Nude Remixes,2019-10-25
2020-10-29T14:07:54Z,spotify:track:2WIUbg8CiAsKuQMw9DzZ1d,School,47,242081,False,Sixteen Oceans,2020-03-13
2020-10-08T10:41:05Z,spotify:track:5SW8SlaKiBYh4qBpomiL61,Ombre,36,354098,False,Ombre,2019-04-12
2020-10-05T22:11:32Z,spotify:track:6YJ9z4IInxfJWsjc6ADtV2,Prelusion,49,377919,False,Prelusion,2019-05-28
2020-10-03T13:29:54Z,spotify:track:1QrxggFof36TcpeREbDAXI,Stone Flower - Original,42,468816,False,Stone Flower,2019-05-27
