added_at_playlist,uri,username,name,popularity,duration_ms,is_explicit,album_name,album_release_date
2021-03-30T01:20:10Z,spotify:track:41tTurAQi6EnvoijjUf0rk,Lina,Bob Ross,11,224510,False,Bob Ross,2021-03-28
2021-03-26T19:57:50Z,spotify:track:7rU6Iebxzlvqy5t857bKFq,Lina,Plastic Love,66,294493,False,Expressions,2008-05-21
2021-03-24T16:31:07Z,spotify:track:6qziCLmMT1n8IevVTWl950,Lina,I Will Wait For You,40,190760,False,Her Greatest Hits & Finest Performances,1996-01-01
2021-03-20T15:51:15Z,spotify:track:2yJ9GVCLMmzBBfQAnfzlwr,Lina,THat Part,66,313573,True,Blank Face LP,2016-07-08
2021-03-05T02:09:57Z,spotify:track:5uEYRdEIh9Bo4fpjDd4Na9,Lina,Goosebumps - Remix,92,162802,True,Goosebumps (Remix),2021-01-15
2021-03-04T01:57:05Z,spotify:track:6N42xAGv2oUIUDuJ0IIjD7,Lina,Milestone 2 (Skux Life),33,176573,False,Hunt for the Wilderpeople (Original Motion Picture Soundtrack),2016-06-24
2021-03-02T18:53:33Z,spotify:track:5zWZ9iNevP0397xB3jWV2z,Lina,Brother Louie,71,222666,False,Ready For Romance,1986
2021-02-10T22:46:53Z,spotify:track:5q1pDq0GQeh1Vy8yJP9TO4,Lina,F THE WORLD(Feat.Wonstein),39,203640,False,My Sadness,2019-11-18
2020-12-20T17:24:52Z,spotify:track:6SOw5YcoAXoKphG5iPzXEz,Lina,Photo of My Mind,56,272720,False,"Crash Landing on You (Original Television Soundtrack), Pt. 6",2020-01-25
2020-12-20T14:21:26Z,spotify:track:6H2RtOSiSjCVyqKpgjgIZ3,Lina,The Song for My Brother - Orchestra Version,47,275813,False,Crash Landing on You (Original Television Soundtrack),2020-02-16
2020-12-04T13:39:08Z,spotify:track:5OFKWrKbS8iTIGxgjyHDzW,Lina,Coffee (F***ing) (feat. Wale),53,314053,True,Coffee (F***ing) (feat. Wale),2015-05-01
2020-11-30T00:45:20Z,spotify:track:2XIc1pqjXV3Cr2BQUGNBck,Lina,LA NOCHE DE ANOCHE,94,203200,False,EL ÚLTIMO TOUR DEL MUNDO,2020-11-27
2020-11-28T00:15:03Z,spotify:track:4WUnM4KNZ0kjp0CUeoyOnS,Lina,I Swear,68,259853,False,All-4-One,1994-01-01
2020-11-28T00:14:28Z,spotify:track:7MYmo0JJJDmu4MZTSAF9y3,Lina,On Bended Knee,59,329800,False,II,1994-01-01
2020-11-28T00:09:21Z,spotify:track:3kVIFDE3G89I2RPVkiRaRj,Lina,Cupid,63,252266,False,112,1996-08-27
2020-11-28T00:08:49Z,spotify:track:3nXrCAE44KlevAkQB2XWcN,Lina,Gonna Love Me,70,166997,False,K.T.S.E.,2018-06-23
2020-11-28T00:07:23Z,spotify:track:1vbe9sh7U9vdMceAhitWr2,Lina,Can You Stand The Rain,62,297706,False,Heart Break,1988-01-01
2020-11-28T00:06:48Z,spotify:track:4G1qRhOk1YY0kewtMaCrMC,Lina,Rain,64,264506,False,Release Some Tension,1997-07-29
2020-11-28T00:04:30Z,spotify:track:3w8Mw9GHYepoTWOSdiyosj,Lina,Incomplete,62,274226,True,Unleash The Dragon,1999-01-01
2020-11-28T00:04:12Z,spotify:track:4lRrk574qIHpoEEKC1zuam,Lina,At Your Best (You Are Love),65,291400,False,Age Ain't Nothing But A Number,1994-05-22
2020-11-28T00:04:06Z,spotify:track:0W4NhJhcqKCqEP2GIpDCDq,Lina,Love,76,255333,False,The Way It Is,2005-01-01
2020-11-27T23:41:22Z,spotify:track:5u3FywQOPJ5O7ZAjm31cnq,Lina,Right Here - Human Nature Radio Mix,63,226800,False,Right Here,1992
2020-11-23T13:37:21Z,spotify:track:1oOEkBNp4zWnkD7nWjJdog,Lina,Snow On Tha Bluff,70,235480,True,Snow On Tha Bluff,2020-06-16
2020-11-23T11:56:00Z,spotify:track:3MAgQuClHcAV8E9CbeBS6f,Lina,Lotus Flower Bomb (feat. Miguel),73,213253,True,Ambition,2011-10-28
2020-11-22T03:02:33Z,spotify:track:1VbiENVGHwF5Y70Ywotwe1,Lina,Don't Look Back (feat. Kotomi & Ryan Elder) [From Rick and Morty: Season 4],60,207000,False,Don't Look Back (feat. Kotomi & Ryan Elder) [From Rick and Morty: Season 4],2020-06-01
2020-11-05T16:08:46Z,spotify:track:1KOGBw8kuawbxJWqcHypy0,Lina,Death Stranding,55,316214,False,Death Stranding,2019-10-01
2020-11-01T14:01:46Z,spotify:track:0u2P5u6lvoDfwTYjAADbn4,Lina,lovely (with Khalid),89,200185,False,lovely (with Khalid),2018-04-19
2020-11-01T05:46:26Z,spotify:track:0U3u0HdRQjD8mAMYBak4Ok,Lina,Saw You In A Dream,66,208280,False,Saw You In A Dream,2017-06-30
2020-10-03T12:04:07Z,spotify:track:0RWpk45QZEh3l3LcM6TL7q,Lina,사랑합니다...,7,228946,False,영민,2003-03-01
2020-10-02T12:38:42Z,spotify:track:1bSpwPhAxZwlR2enJJsv7U,Lina,No Surprises,31,229120,False,OK Computer,1997-05-28
2020-10-02T12:38:32Z,spotify:track:2MZSXhq4XDJWu6coGoXX1V,Lina,Avril 14th,66,125520,False,Drukqs,2001-10-22
2020-08-24T00:37:24Z,spotify:track:0COiZ7ncho2yi4HotbzgPv,Lina,Motion Picture Soundtrack,15,200482,False,Kid A,2000-10-01
2020-06-17T14:05:43Z,spotify:track:633uP66CxkLqwIWmgUZrl2,Lina,Two Words,45,232160,False,Inspired,2008-07-28
2020-05-26T18:29:55Z,spotify:track:4SFBV7SRNG2e2kyL1F6kjU,Lina,"The Well-Tempered Clavier: Book 1, BWV 846-869: 1. Prelude in C Major, BWV 846",67,139306,False,Piano Book (Deluxe Edition),2019-03-29
2020-05-22T13:43:07Z,spotify:track:0KOE1hat4SIer491XKk4Pa,Lina,A Change Is Gonna Come,70,191160,False,Ain't That Good News,1964-03-01
2020-05-22T13:42:49Z,spotify:track:36AlMHDBFwSsD3FQOy1R81,Lina,Try a Little Tenderness,65,201733,False,Complete & Unbelievable: The Otis Redding Dictionary of Soul,1966-10-15
