artists,artists_id
Nxtime,spotify:artist:2960ZYqDzOYsnK0ka9Rd8J
Mariya Takeuchi,spotify:artist:3WwGRA2o4Ux1RRMYaYDh7N
Connie Francis,spotify:artist:3EY5DxGdy7x4GelivOjS2Q
"['ScHoolboy Q', 'Kanye West']","['spotify:artist:5IcR3N7QB1j6KBL8eImZ8m', 'spotify:artist:5K4W6rqBFWDnAN6FQUkS6x']"
"['Travis Scott', 'HVME']","['spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY', 'spotify:artist:2o08sCWF5yyo2G4DCiT7T9']"
Moniker,spotify:artist:6mLzqvtfYZ0tq6JKj4VTEW
Modern Talking,spotify:artist:79bxUQsBIXO8nVLB9fYKf7
"['Mommy Son', 'Wonstein']","['spotify:artist:5xWKWXamxbujIdti9xpnI1', 'spotify:artist:5o615XColiSVMPDWlslKSk']"
Song Ga In,spotify:artist:5t5zmsIdTDRqDeI17tilpd
"['Nam Hye Seung', 'Park Sang Hee']","['spotify:artist:1vOJqsD0H57xUKg9IcknD9', 'spotify:artist:1icVxSPmme4DhN7q0HTM5p']"
"['Miguel', 'Wale']","['spotify:artist:360IAlyVv4PCEVjgyMZrxK', 'spotify:artist:67nwj3Y5sZQLl72VNUHEYE']"
"['Bad Bunny', 'ROSALÍA']","['spotify:artist:4q3ewBCX7sLwd24euuV69X', 'spotify:artist:7ltDVBr6mKbRvohxheJ9h1']"
All-4-One,spotify:artist:1B8ySGDAiXTCvnJNH4HSCG
Boyz II Men,spotify:artist:6O74knDqdv3XaWtkII7Xjp
112,spotify:artist:7urq0VfqxEYEEiZUkebXT4
Teyana Taylor,spotify:artist:4ULO7IGI3M2bo0Ap7B9h8a
New Edition,spotify:artist:1mFX1QlezK1lNPKQJkhwWb
SWV,spotify:artist:2NmK5FyrQ18HOPXq1UBzqa
Sisqo,spotify:artist:6x9QLdzo6eBZxJ1bHsDkjg
Aaliyah,spotify:artist:0urTpYCsixqZwgNTkPJOJ4
Keyshia Cole,spotify:artist:1vfezMIyCr4XUdYRaKIKi3
SWV,spotify:artist:2NmK5FyrQ18HOPXq1UBzqa
J. Cole,spotify:artist:6l3HvQ5sa6mXTsMTB19rO5
"['Wale', 'Miguel']","['spotify:artist:67nwj3Y5sZQLl72VNUHEYE', 'spotify:artist:360IAlyVv4PCEVjgyMZrxK']"
"['Rick and Morty', 'Kotomi', 'Ryan Elder']","['spotify:artist:2M0kKcVuBsLFH5d12pW215', 'spotify:artist:2DkkZhwyZWHflCcjGEA6Nu', 'spotify:artist:4Pb4bahbtpK9nkdfp4bHgi']"
CHVRCHES,spotify:artist:3CjlHNtplJyTf9npxaPl5w
"['Billie Eilish', 'Khalid']","['spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH', 'spotify:artist:6LuN9FCkKOj5PcnpouEgny']"
The Japanese House,spotify:artist:3IunaFjvNKj98JW89JYv9u
Tim,spotify:artist:1H0rJYjO99jtsKOtaXmYTY
Radiohead,spotify:artist:4Z8W4fKeB5YxbusRsdQVPb
Aphex Twin,spotify:artist:6kBDZFXuLrZgHnvmPu9NsG
Radiohead,spotify:artist:4Z8W4fKeB5YxbusRsdQVPb
Lea Salonga,spotify:artist:1GlMjIezcLwV3OFlX0uXOv
"['Johann Sebastian Bach', 'Lang Lang']","['spotify:artist:5aIqB5nVVvmFsvSdExz408', 'spotify:artist:1YZhNFBxkEB5UKTgMDvot4']"
Sam Cooke,spotify:artist:6hnWRPzGGKiapVX1UCdEAC
Otis Redding,spotify:artist:60df5JBRRPcnSpsIMxxwQm
Otis Redding,spotify:artist:60df5JBRRPcnSpsIMxxwQm
Otis Redding,spotify:artist:60df5JBRRPcnSpsIMxxwQm
Stephanie Mills,spotify:artist:0PcIlEZa7rreM7729ot05g
Bazzi,spotify:artist:4GvEc3ANtPPjt1ZJllr5Zl
Goth Babe,spotify:artist:7o96HO2zrujyATtVsqGhh3
Q Park,spotify:artist:5c7tbUOi4vVEDj2wUxcGi5
"['Shakedown', 'Kid Crème']","['spotify:artist:0vSfjPjAbekoehCpmy1RV1', 'spotify:artist:21LRoheW1z49N5d52wlQ5X']"
Missy Elliott,spotify:artist:2wIVse2owClT7go1WT98tk
"['Missy Elliott', 'Ciara', 'Fatman Scoop']","['spotify:artist:2wIVse2owClT7go1WT98tk', 'spotify:artist:2NdeV5rLm47xAvogXrYhJX', 'spotify:artist:15GGbJKqC6w0VYyAJtjej6']"
Missy Elliott,spotify:artist:2wIVse2owClT7go1WT98tk
Missy Elliott,spotify:artist:2wIVse2owClT7go1WT98tk
"['Lizzo', 'Missy Elliott']","['spotify:artist:56oDRnqbIiwx4mymNEv7dS', 'spotify:artist:2wIVse2owClT7go1WT98tk']"
Ashanti,spotify:artist:5rkVyNGXEgeUqKkB5ccK83
Ashanti,spotify:artist:5rkVyNGXEgeUqKkB5ccK83
Ashanti,spotify:artist:5rkVyNGXEgeUqKkB5ccK83
