uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
spotify:track:41tTurAQi6EnvoijjUf0rk,0.714,0.864,0,-5.824,1,0.0339,0.0646,9.1e-05,0.186,0.802,126.047
spotify:track:7rU6Iebxzlvqy5t857bKFq,0.648,0.875,2,-5.141,0,0.034,0.0747,9.64e-05,0.196,0.857,102.517
spotify:track:6qziCLmMT1n8IevVTWl950,0.301,0.308,10,-10.733,0,0.0312,0.911,1.87e-05,0.223,0.254,96.32
spotify:track:2yJ9GVCLMmzBBfQAnfzlwr,0.927,0.535,6,-7.59,0,0.0911,0.0855,0,0.136,0.336,112.96
spotify:track:5uEYRdEIh9Bo4fpjDd4Na9,0.841,0.593,1,-7.846,1,0.0379,0.418,0,0.124,0.808,124.917
spotify:track:6N42xAGv2oUIUDuJ0IIjD7,0.608,0.847,0,-8.683,0,0.0329,0.112,0.828,0.357,0.424,151.977
spotify:track:5zWZ9iNevP0397xB3jWV2z,0.783,0.836,0,-9.223,0,0.0486,0.396,0.0236,0.135,0.831,108.966
spotify:track:5q1pDq0GQeh1Vy8yJP9TO4,0.704,0.413,4,-6.465,1,0.0728,0.754,0,0.25,0.89,95.851
spotify:track:6SOw5YcoAXoKphG5iPzXEz,0.312,0.377,0,-5.395,1,0.0335,0.848,9.73e-05,0.0994,0.305,131.698
spotify:track:6H2RtOSiSjCVyqKpgjgIZ3,0.284,0.189,7,-9.282,1,0.0303,0.979,0.765,0.176,0.0727,78.266
spotify:track:5OFKWrKbS8iTIGxgjyHDzW,0.543,0.667,8,-7.333,1,0.0633,0.0165,2.69e-05,0.15,0.196,162.067
spotify:track:2XIc1pqjXV3Cr2BQUGNBck,0.856,0.618,7,-4.892,1,0.286,0.0303,0,0.0866,0.391,81.993
spotify:track:4WUnM4KNZ0kjp0CUeoyOnS,0.532,0.407,6,-9.658,0,0.0233,0.235,0,0.117,0.23,83.207
spotify:track:7MYmo0JJJDmu4MZTSAF9y3,0.631,0.516,8,-8.225,1,0.0353,0.413,0,0.115,0.18,116.654
spotify:track:3kVIFDE3G89I2RPVkiRaRj,0.685,0.38,8,-11.219,1,0.112,0.373,0,0.0371,0.87,175.562
spotify:track:3nXrCAE44KlevAkQB2XWcN,0.514,0.506,10,-7.095,0,0.28,0.402,2.56e-05,0.191,0.312,88.044
spotify:track:1vbe9sh7U9vdMceAhitWr2,0.614,0.369,8,-15.182,1,0.0353,0.678,0.00235,0.143,0.733,143.319
spotify:track:4G1qRhOk1YY0kewtMaCrMC,0.643,0.486,4,-10.443,0,0.0278,0.337,3.86e-06,0.702,0.146,138.151
spotify:track:3w8Mw9GHYepoTWOSdiyosj,0.746,0.443,1,-7.693,0,0.0771,0.282,0,0.14,0.272,119.311
spotify:track:4lRrk574qIHpoEEKC1zuam,0.626,0.441,9,-10.637,0,0.0308,0.761,0.0138,0.0685,0.563,78.094
spotify:track:0W4NhJhcqKCqEP2GIpDCDq,0.688,0.519,5,-4.285,1,0.0283,0.064,0,0.1,0.318,116.714
spotify:track:5u3FywQOPJ5O7ZAjm31cnq,0.601,0.74,9,-5.043,0,0.0573,0.0299,0.332,0.0937,0.672,94.013
spotify:track:1oOEkBNp4zWnkD7nWjJdog,0.586,0.512,8,-8.819,0,0.0668,0.723,0.0002,0.119,0.235,75.857
spotify:track:3MAgQuClHcAV8E9CbeBS6f,0.512,0.598,9,-4.959,0,0.115,0.611,0,0.0881,0.345,70.189
spotify:track:1VbiENVGHwF5Y70Ywotwe1,0.595,0.396,0,-16.103,1,0.0344,0.688,0.275,0.132,0.22,100.018
spotify:track:1KOGBw8kuawbxJWqcHypy0,0.495,0.703,6,-5.825,1,0.0506,0.00126,0.0652,0.0686,0.0546,121.961
spotify:track:0u2P5u6lvoDfwTYjAADbn4,0.351,0.296,4,-10.109,0,0.0333,0.934,0,0.095,0.12,115.284
spotify:track:0U3u0HdRQjD8mAMYBak4Ok,0.607,0.451,4,-8.206,1,0.0286,0.0604,0,0.19,0.676,94.054
spotify:track:0RWpk45QZEh3l3LcM6TL7q,0.383,0.504,2,-5.611,1,0.0368,0.676,0,0.101,0.187,133.838
spotify:track:1bSpwPhAxZwlR2enJJsv7U,0.255,0.393,5,-10.654,1,0.0278,0.0577,0.00361,0.113,0.118,76.426
spotify:track:2MZSXhq4XDJWu6coGoXX1V,0.558,0.0259,8,-30.016,1,0.0458,0.996,0.871,0.0969,0.37,157.811
spotify:track:0COiZ7ncho2yi4HotbzgPv,0.134,0.129,7,-16.128,1,0.0341,0.921,0.697,0.13,0.0435,93.668
spotify:track:633uP66CxkLqwIWmgUZrl2,0.341,0.263,4,-11.229,1,0.0358,0.967,0.0166,0.156,0.403,128.854
spotify:track:4SFBV7SRNG2e2kyL1F6kjU,0.221,0.126,0,-25.427,1,0.0447,0.989,0.897,0.102,0.216,133.63
spotify:track:0KOE1hat4SIer491XKk4Pa,0.212,0.383,10,-10.071,1,0.0347,0.723,0,0.299,0.452,173.79
spotify:track:36AlMHDBFwSsD3FQOy1R81,0.587,0.133,9,-15.151,0,0.0565,0.186,2.26e-05,0.258,0.068,102.938
spotify:track:1aj4GXfmEYXfdVZohCpNKu,0.883,0.464,10,-11.251,1,0.0591,0.279,1.51e-05,0.0744,0.925,111.548
spotify:track:3zBhihYUHBmGd2bcQIobrF,0.769,0.367,2,-11.226,1,0.0312,0.684,1.62e-05,0.081,0.535,103.621
spotify:track:4EUlszQIxlPwiHJ6e6j6Gy,0.739,0.566,11,-13.534,1,0.0335,0.384,3.1e-06,0.0735,0.739,114.045
spotify:track:4a6q8CR2hzLk2plDkSxkfD,0.812,0.519,2,-4.823,1,0.0385,0.379,0,0.13,0.554,104.954
spotify:track:1OQEF0LsL7KMQmBZSiUcdE,0.34,0.724,6,-8.572,0,0.416,0.388,0.000371,0.139,0.365,191.604
spotify:track:11ohYWiNcQLwMRrOo88ikv,0.84,0.931,5,-2.108,0,0.058,0.0378,2.95e-06,0.306,0.967,95.002
spotify:track:5oBMyeX0QVZmRNeNyCb1YO,0.727,0.955,8,-8.28,1,0.0627,0.00351,0.887,0.15,0.744,124.987
spotify:track:1bk1e97WRD93cTjt47VFdz,0.912,0.505,8,-6.988,1,0.193,0.0642,0,0.337,0.745,102.01
spotify:track:0UaMYEvWZi0ZqiDOoHU3YI,0.904,0.813,4,-7.105,0,0.121,0.0311,0.00697,0.0471,0.81,125.461
spotify:track:3jagJCUbdqhDSPuxP8cAqF,0.884,0.677,1,-5.603,1,0.283,0.0778,0,0.0732,0.584,101.868
spotify:track:6zsk6uF3MxfIeHPlubKBvR,0.797,0.75,0,-9.369,1,0.247,0.533,0.108,0.095,0.74,177.87
spotify:track:6nBQFAIVFmAx2oZ8p6lUg6,0.833,0.722,1,-5.563,1,0.136,0.0573,1.14e-05,0.358,0.588,107.019
spotify:track:6CbcdeTQKj0qTaZTt0xkdk,0.727,0.515,2,-6.553,0,0.0289,0.241,3.74e-06,0.124,0.695,89.488
spotify:track:6pWzCKTrKrwbUPzY8RLCoP,0.71,0.797,4,-3.006,0,0.0582,0.408,0,0.16,0.849,94.998
spotify:track:6zMUIb4uce1CzpbjR3vMdN,0.665,0.695,0,-5.763,1,0.0532,0.347,0,0.106,0.707,90.119
spotify:track:0nMy2qZ3UXvV1WCosahGTW,0.722,0.567,7,-8.227,0,0.0294,0.198,0,0.0743,0.634,91.911
spotify:track:6tDxrq4FxEL2q15y37tXT9,0.773,0.54,6,-7.123,1,0.103,0.371,0,0.131,0.322,84.115
spotify:track:6uRH1qMz30ZBwwUG0IYE5s,0.912,0.511,9,-6.365,1,0.203,0.0259,0,0.0442,0.611,101.628
spotify:track:2qPx2QWd7vp8XxgeD9Wn5W,0.788,0.626,0,-8.582,1,0.354,0.262,0,0.0791,0.74,87.96
spotify:track:6KoaqyDrVtZmlWET7Nf9Ez,0.854,0.524,6,-5.421,0,0.209,0.346,0,0.0684,0.792,92.587
spotify:track:4AE7Lj39VnSZNOmGH2iZaq,0.874,0.63,1,-3.585,1,0.298,0.0578,0.00479,0.0582,0.717,95.0
spotify:track:7MQywXGHEev7JmwwIzMcao,0.767,0.551,0,-7.328,1,0.0616,0.00364,0,0.0451,0.796,100.904
spotify:track:0GCr34G7GoGu5eo0VXHoQb,0.767,0.641,6,-8.333,0,0.0791,0.00162,0.76,0.111,0.0376,115.991
spotify:track:1qbXrxctv75pm1lWCn6Zw3,0.701,0.663,6,-7.227,1,0.202,0.0123,1.04e-05,0.131,0.334,100.001
spotify:track:1WwdJXBxpYiCx16tFaJSuc,0.851,0.498,6,-4.615,0,0.0628,0.399,0,0.107,0.537,142.075
spotify:track:3eNSdI9oriVPpuqkpO4h31,0.545,0.35,7,-13.155,1,0.0264,0.541,2.18e-05,0.122,0.736,96.239
spotify:track:73cn6vDBBOS74HXf27l9t4,0.653,0.7,11,-15.138,0,0.038,0.692,0.859,0.102,0.51,132.944
spotify:track:02BwlHD6hUNn3kzySLfqMq,0.617,0.5,6,-5.747,1,0.034,0.386,0.00521,0.107,0.516,90.026
spotify:track:3eoNUm0LU9hATVVi9w4fM6,0.569,0.84,1,-4.123,1,0.118,0.0295,0.000118,0.0995,0.749,183.059
spotify:track:50aTwBKhPD3D3BW04UtjmA,0.548,0.655,7,-6.05,1,0.11,0.00478,0,0.125,0.183,179.884
spotify:track:3ClBKQkKoaUQ6UOhe2xlJK,0.794,0.32,1,-12.92,0,0.173,0.853,0.134,0.112,0.241,174.088
spotify:track:20MuVazoNMv6xjKPnRFOxG,0.741,0.645,11,-5.116,0,0.0963,0.192,0,0.163,0.488,149.07
spotify:track:2WuzAwiZzest2eONspeXMA,0.793,0.851,7,-6.303,1,0.0599,0.000107,0.669,0.032,0.62,120.002
spotify:track:6sHsXIJoEN5JpdkGMQDJxt,0.704,0.707,1,-6.537,0,0.0391,0.539,0.00106,0.318,0.761,93.145
spotify:track:48JAAdtKgOQ4u4QRER6bJX,0.6,0.556,1,-7.294,1,0.026,0.624,0.00735,0.0837,0.233,105.957
spotify:track:0ncKBXed6bqjse7FZJHydU,0.681,0.297,3,-7.778,0,0.0306,0.802,0,0.222,0.248,98.502
