username,uri,name,popularity,duration_ms,is_explicit,album_name,album_release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Lina,spotify:track:41tTurAQi6EnvoijjUf0rk,Bob Ross,11,224510,False,Bob Ross,2021-03-28,0.7140000000000001,0.8640000000000001,0,-5.824,1,0.0339,0.0646,9.1e-05,0.18600000000000003,0.802,126.04700000000001
Lina,spotify:track:7rU6Iebxzlvqy5t857bKFq,Plastic Love,66,294493,False,Expressions,2008-05-21,0.648,0.875,2,-5.141,0,0.034,0.0747,9.640000000000001e-05,0.196,0.857,102.51700000000001
Lina,spotify:track:6qziCLmMT1n8IevVTWl950,I Will Wait For You,40,190760,False,Her Greatest Hits & Finest Performances,1996-01-01,0.301,0.308,10,-10.732999999999999,0,0.0312,0.9109999999999999,1.87e-05,0.223,0.254,96.32
Lina,spotify:track:2yJ9GVCLMmzBBfQAnfzlwr,THat Part,66,313573,True,Blank Face LP,2016-07-08,0.927,0.535,6,-7.59,0,0.0911,0.0855,0.0,0.136,0.336,112.96
Lina,spotify:track:5uEYRdEIh9Bo4fpjDd4Na9,Goosebumps - Remix,92,162802,True,Goosebumps (Remix),2021-01-15,0.841,0.593,1,-7.846,1,0.0379,0.418,0.0,0.124,0.8079999999999999,124.917
Lina,spotify:track:6N42xAGv2oUIUDuJ0IIjD7,Milestone 2 (Skux Life),33,176573,False,Hunt for the Wilderpeople (Original Motion Picture Soundtrack),2016-06-24,0.608,0.847,0,-8.683,0,0.0329,0.11199999999999999,0.828,0.35700000000000004,0.424,151.977
Lina,spotify:track:5zWZ9iNevP0397xB3jWV2z,Brother Louie,71,222666,False,Ready For Romance,1986,0.7829999999999999,0.836,0,-9.222999999999999,0,0.0486,0.396,0.0236,0.135,0.831,108.96600000000001
Lina,spotify:track:5q1pDq0GQeh1Vy8yJP9TO4,F THE WORLD(Feat.Wonstein),39,203640,False,My Sadness,2019-11-18,0.7040000000000001,0.413,4,-6.465,1,0.0728,0.754,0.0,0.25,0.89,95.851
Lina,spotify:track:6SOw5YcoAXoKphG5iPzXEz,Photo of My Mind,56,272720,False,"Crash Landing on You (Original Television Soundtrack), Pt. 6",2020-01-25,0.312,0.377,0,-5.395,1,0.0335,0.848,9.73e-05,0.0994,0.305,131.69799999999998
Lina,spotify:track:6H2RtOSiSjCVyqKpgjgIZ3,The Song for My Brother - Orchestra Version,47,275813,False,Crash Landing on You (Original Television Soundtrack),2020-02-16,0.284,0.18899999999999997,7,-9.282,1,0.0303,0.9790000000000001,0.765,0.17600000000000002,0.0727,78.266
Lina,spotify:track:5OFKWrKbS8iTIGxgjyHDzW,Coffee (F***ing) (feat. Wale),53,314053,True,Coffee (F***ing) (feat. Wale),2015-05-01,0.5429999999999999,0.667,8,-7.332999999999999,1,0.0633,0.0165,2.6899999999999997e-05,0.15,0.196,162.067
Lina,spotify:track:2XIc1pqjXV3Cr2BQUGNBck,LA NOCHE DE ANOCHE,94,203200,False,EL ÚLTIMO TOUR DEL MUNDO,2020-11-27,0.856,0.618,7,-4.8919999999999995,1,0.28600000000000003,0.0303,0.0,0.0866,0.391,81.993
Lina,spotify:track:4WUnM4KNZ0kjp0CUeoyOnS,I Swear,68,259853,False,All-4-One,1994-01-01,0.532,0.40700000000000003,6,-9.658,0,0.0233,0.235,0.0,0.11699999999999999,0.23,83.20700000000001
Lina,spotify:track:7MYmo0JJJDmu4MZTSAF9y3,On Bended Knee,59,329800,False,II,1994-01-01,0.631,0.516,8,-8.225,1,0.0353,0.413,0.0,0.115,0.18,116.654
Lina,spotify:track:3kVIFDE3G89I2RPVkiRaRj,Cupid,63,252266,False,112,1996-08-27,0.685,0.38,8,-11.219000000000001,1,0.11199999999999999,0.373,0.0,0.0371,0.87,175.562
Lina,spotify:track:3nXrCAE44KlevAkQB2XWcN,Gonna Love Me,70,166997,False,K.T.S.E.,2018-06-23,0.514,0.506,10,-7.095,0,0.28,0.402,2.56e-05,0.191,0.312,88.044
Lina,spotify:track:1vbe9sh7U9vdMceAhitWr2,Can You Stand The Rain,62,297706,False,Heart Break,1988-01-01,0.614,0.369,8,-15.182,1,0.0353,0.6779999999999999,0.00235,0.14300000000000002,0.733,143.319
Lina,spotify:track:4G1qRhOk1YY0kewtMaCrMC,Rain,64,264506,False,Release Some Tension,1997-07-29,0.643,0.486,4,-10.443,0,0.0278,0.337,3.86e-06,0.7020000000000001,0.146,138.151
Lina,spotify:track:3w8Mw9GHYepoTWOSdiyosj,Incomplete,62,274226,True,Unleash The Dragon,1999-01-01,0.746,0.44299999999999995,1,-7.693,0,0.0771,0.282,0.0,0.14,0.272,119.311
Lina,spotify:track:4lRrk574qIHpoEEKC1zuam,At Your Best (You Are Love),65,291400,False,Age Ain't Nothing But A Number,1994-05-22,0.626,0.441,9,-10.637,0,0.0308,0.7609999999999999,0.0138,0.0685,0.563,78.094
Lina,spotify:track:0W4NhJhcqKCqEP2GIpDCDq,Love,76,255333,False,The Way It Is,2005-01-01,0.688,0.519,5,-4.285,1,0.0283,0.064,0.0,0.1,0.318,116.714
Lina,spotify:track:5u3FywQOPJ5O7ZAjm31cnq,Right Here - Human Nature Radio Mix,63,226800,False,Right Here,1992,0.601,0.74,9,-5.043,0,0.0573,0.0299,0.332,0.0937,0.672,94.01299999999999
Lina,spotify:track:1oOEkBNp4zWnkD7nWjJdog,Snow On Tha Bluff,70,235480,True,Snow On Tha Bluff,2020-06-16,0.586,0.512,8,-8.818999999999999,0,0.0668,0.723,0.0002,0.11900000000000001,0.235,75.857
Lina,spotify:track:3MAgQuClHcAV8E9CbeBS6f,Lotus Flower Bomb (feat. Miguel),73,213253,True,Ambition,2011-10-28,0.512,0.598,9,-4.959,0,0.115,0.611,0.0,0.0881,0.345,70.189
Lina,spotify:track:1VbiENVGHwF5Y70Ywotwe1,Don't Look Back (feat. Kotomi & Ryan Elder) [From Rick and Morty: Season 4],60,207000,False,Don't Look Back (feat. Kotomi & Ryan Elder) [From Rick and Morty: Season 4],2020-06-01,0.595,0.396,0,-16.102999999999998,1,0.0344,0.688,0.275,0.132,0.22,100.01799999999999
Lina,spotify:track:1KOGBw8kuawbxJWqcHypy0,Death Stranding,55,316214,False,Death Stranding,2019-10-01,0.495,0.703,6,-5.825,1,0.0506,0.00126,0.0652,0.0686,0.0546,121.961
Lina,spotify:track:0u2P5u6lvoDfwTYjAADbn4,lovely (with Khalid),89,200185,False,lovely (with Khalid),2018-04-19,0.35100000000000003,0.29600000000000004,4,-10.109,0,0.0333,0.934,0.0,0.095,0.12,115.28399999999999
Lina,spotify:track:0U3u0HdRQjD8mAMYBak4Ok,Saw You In A Dream,66,208280,False,Saw You In A Dream,2017-06-30,0.607,0.451,4,-8.206,1,0.0286,0.0604,0.0,0.19,0.6759999999999999,94.054
